TYTUŁ,CENA,LINK,DATA
,,,08/03/2023 22:25
ASUS Vivobook Slate 13 OLED N6000/8GB/128/Win11 (Outlet)(Fv23%)(OLED),1 999 zł zł,https://www.olx.pl//d/oferta/asus-vivobook-slate-13-oled-n6000-8gb-128-win11-outletfv23-oled-CID99-IDT1t7Q.html,08/03/2023 22:25
Komputer ASUS ROG Strix G10CE i5-11400F 16GB 512GB RTX3060 W10 Office,3 349 zł zł,https://www.olx.pl//d/oferta/komputer-asus-rog-strix-g10ce-i5-11400f-16gb-512gb-rtx3060-w10-office-CID99-IDT0VHC.html,08/03/2023 22:25
"Laptop CLEVO P970RN 17,3"" 144hz RTX 2080, i7-9750H, 32ram SSD 512+1TB",4 475 zł zł,https://www.olx.pl//d/oferta/laptop-clevo-p970rn-17-3-144hz-rtx-2080-i7-9750h-32ram-ssd-512-1tb-CID99-IDTmkXf.html,08/03/2023 22:25
Laptop Gamingowy MSI GF65 i5-10200H/8GB/RTX 3060/512GB/144Hz,3 400 zł zł,https://www.olx.pl//d/oferta/laptop-gamingowy-msi-gf65-i5-10200h-8gb-rtx-3060-512gb-144hz-CID99-IDSOzYe.html,08/03/2023 22:25
MSI Geforce 3060 TI Gaming X 8GB GDDR6 - Gwarancja  28 msc - Kraków,1 899 złdo negocjacji zł,https://www.olx.pl//d/oferta/msi-geforce-3060-ti-gaming-x-8gb-gddr6-gwarancja-28-msc-krakow-CID99-IDTb2ke.html,08/03/2023 22:25
MSI RTX 3050 Ventus 2X 8GB GDDR6,1 150 zł zł,https://www.olx.pl//d/oferta/msi-rtx-3050-ventus-2x-8gb-gddr6-CID99-IDTwfpv.html,08/03/2023 22:25
MSI rtx 3070ti ventus 3x,2 700 zł zł,https://www.olx.pl//d/oferta/msi-rtx-3070ti-ventus-3x-CID99-IDTpzWo.html,08/03/2023 22:25
"Laptop MSI GF63-11UC i5 16GB 512GM RTX3050 WIN11 15,6""",2 800 zł zł,https://www.olx.pl//d/oferta/laptop-msi-gf63-11uc-i5-16gb-512gm-rtx3050-win11-15-6-CID99-IDSMOEy.html,08/03/2023 22:25
MSI GeForce RTX 3070 VENTUS 2x OC Karta Graficzna/ Gaming,3 500 złdo negocjacji zł,https://www.olx.pl//d/oferta/msi-geforce-rtx-3070-ventus-2x-oc-karta-graficzna-gaming-CID99-IDSL0D0.html,08/03/2023 22:25
MSI GL75 17 RTX2070 16gb RAM i7 10gen,3 700 zł zł,https://www.olx.pl//d/oferta/msi-gl75-17-rtx2070-16gb-ram-i7-10gen-CID99-IDSKjGO.html,08/03/2023 22:25
LAPTOP MSI GP66 10UG-410 15.6 Zoll FHD Gaming RTX3070 Notebook,4 500 zł zł,https://www.olx.pl//d/oferta/laptop-msi-gp66-10ug-410-15-6-zoll-fhd-gaming-rtx3070-notebook-CID99-IDRT1J9.html,08/03/2023 22:25
"msi gs 65 gs65 laptop i7-8750H, 16GB RAM, 512ssd, GTX1060, 144hz",2 800 zł zł,https://www.olx.pl//d/oferta/msi-gs-65-gs65-laptop-i7-8750h-16gb-ram-512ssd-gtx1060-144hz-CID99-IDSi9Ut.html,08/03/2023 22:25
Laptop Lenovo Legion 7 16ACHg6 Ryzen 7 RTX 3070,4 300 zł,https://allegrolokalnie.pl//oferta/laptop-lenovo-legion-7-16achg6-ryzen-7-rtx-3070-j3i,08/03/2023 22:25
Laptop Gigabyte G5 RTX 3060 i5-11400h 16/512 GB ,3 500 zł,https://allegrolokalnie.pl//oferta/laptop-gigabyte-g5-kd52ee123sd-16512-gb-czarny,08/03/2023 22:25
"HP OMEN 17,3' I5-11400H 16/512GB SSD RTX 3060 GW",3 169 zł,https://allegrolokalnie.pl//oferta/hp-omen-173-i511400h-16512gb-ssd-rtx-3060-gw-eig,08/03/2023 22:25
Lenovo legion 5 rtx 3060 ryzen 5 5600H 165hz ,3 501 zł,https://allegrolokalnie.pl//oferta/lenovo-legion-5-rtx-3060-ryzen-5-5600h-165hz,08/03/2023 22:25
"Laptop Acer Nitro5 rtx3050 i5 11gen 17.3""",2 799 zł,https://allegrolokalnie.pl//oferta/laptop-acer-nitro5-rtx3050-i5-11gen-173,08/03/2023 22:25
Asus VivoBook 14 OLED i5-11300H 512GB 8GB MOCNY,2 550 zł,https://allegrolokalnie.pl//oferta/asus-vivobook-14-oled-i511300h-512gb-8gb-mocny,08/03/2023 22:25
Dream Machines RS2080-15PL51 jak Lenovo Legion,4 500 zł,https://allegrolokalnie.pl//oferta/dream-machines-rs208015pl51-jak-lenovo-legion,08/03/2023 22:25
"ASUS VivoBook 15 K513EA-L11957W OLED 15,6"" 512 16",2 699 zł,https://allegrolokalnie.pl//oferta/asus-vivobook-15-k513eal11957w-oled-156-512-16-wt6,08/03/2023 22:25
MSI GF65 10UE-053PL i7 10750H RTX3060 8GB 512GB,3 599 zł,https://allegrolokalnie.pl//oferta/msi-gf65-10ue053pl-i7-10750h-rtx3060-8gb-512gb-bax,08/03/2023 22:25
Acer Aspire 3 A315 Athlon 3050U 8GB 256SSD PCIe,1 750 zł,https://allegrolokalnie.pl//oferta/acer-aspire-3-a315-athlon-3050u-8gb-256ssd-pcie,08/03/2023 22:25
Lenovo Ideapad 110 N3060 4GB RAM Windows 10,1 000 zł,https://allegrolokalnie.pl//oferta/lenovo-ideapad-110-n3060-4gb-ram-windows-10,08/03/2023 22:25
,,,08/03/2023 23:44
MSI GS 65 stealth thin 8RF 16gb RAM gtx 1070 maxq SSD 775GB gamingowy,3 050 zł zł,https://www.olx.pl//d/oferta/msi-gs-65-stealth-thin-8rf-16gb-ram-gtx-1070-maxq-ssd-775gb-gamingowy-CID99-IDRmNnw.html,08/03/2023 23:44
MSI GS65 Stealth - laptop gamingowy - stan idealny,3 900 złdo negocjacji zł,https://www.olx.pl//d/oferta/msi-gs65-stealth-laptop-gamingowy-stan-idealny-CID99-IDQFI1t.html,08/03/2023 23:44
j. NOWY MSI Stealth 15M A11SEK i7-1185G7 16GB 512GB RTX2060MQ,3 549 zł zł,https://www.olx.pl//d/oferta/j-nowy-msi-stealth-15m-a11sek-i7-1185g7-16gb-512gb-rtx2060mq-CID99-IDT8wzi.html,08/03/2023 23:44
"MSI Stealth 15M (i7 3 GHz, 16Gb DDR4, RTX 2060)",3 750 zł,https://allegrolokalnie.pl//oferta/msi-stealth-15m-i7-3-ghz-16gb-ddr4-rtx-2060,08/03/2023 23:44
"Razer Blade Stealth 13"" 512gb Nvidia Touch Screen",3 999 zł,https://allegrolokalnie.pl//oferta/razer-blade-stealth-13-512gb-nvidia-gtx1650t,08/03/2023 23:44
Laptop MSI GS65 Stealth 9SD-628PL,4 000 zł,https://allegrolokalnie.pl//oferta/laptop-msi-gs65-stealth-9sd628pl,08/03/2023 23:44
"Laptop MSI Stealth 15,6''",3 159 zł,https://allegrolokalnie.pl//oferta/laptop-msi-stealth-156,08/03/2023 23:44
MSI GS73VR 7RG Stealth Pro GTX 1070 8GB / 16GB RAM,3 900 zł,https://allegrolokalnie.pl//oferta/msi-gs73vr-7rg-stealth-pro-gtx-1070-8gb-16gb-ram,08/03/2023 23:44
,,,2023-03-09 07:14:47
,,,2023-03-09 19:59:27
ASUS VivoBook 15 OLED K513EA-L11957W,3000,https://www.olx.pl//d/oferta/asus-vivobook-15-oled-k513ea-l11957w-CID99-IDTvWgh.html,2023-03-09 19:59:27
Acer Nitro 5/i5-11400H/16GB/Ram /512GB/RTX 3050TI,2300,https://allegrolokalnie.pl//oferta/acer-nitro-5i511400h16gbram-512gbrtx-3050ti,2023-03-09 19:59:27
Laptop Lenovo L340 Gaming I5 GTX1650 16gb SSD512,1000,https://allegrolokalnie.pl//oferta/laptop-lenovo-l340-gaming-i5-gtx1650-16gb-ssd512,2023-03-09 19:59:27
,,,2023-03-09 23:40:07
